cod_loc,id_prov,id_departamento,observaciones,categoria,subcategoria,provincia,departamento,localidad,nombre,domicilio,piso,CP,cod_area,telefono,mail,web,informacion,latitud,longitud,TipoLatitudLongitud,actividad_especifica,denominacion_especifica,fuente,tipo_gestion,inicio_act,capacidad,ano_actualizacion
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Tercer Arco,Av. de Mayo  1158,,1084,s/d,s/d,hipolitoyrigoyen1159pbsrl@gmail.com,facebook.com/Terceractorestobar/,,-34.60928000,-58.38284800,Precisa,s/d,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio Templum,Ayacucho  318,1Â°,1025,11,49531513,info@espaciotemplum.com.ar,www.espaciotemplum.com.ar,A la italiana - capacidad sala 2: 15 personas,-34.60563000,-58.39518000,Precisa,,s/d,Proteatro 2017 / Relevamiento 2017,Privado,1991,60,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,AÃ©rea Teatro,BartolomÃ© Mitre 4272 ,,1201,11,49836980,danzaerea@gmail.com,www.aereateatro.com/,,-34.61050740,-58.42714240,Precisa,Sala de danza y teatro,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El GalpÃ³n de Catalinas,Benito PÃ©rez GaldÃ³s 93,P.B.,1155,11,43071097,grupodeteatro@catalinasur.com.ar,www.catalinasur.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.62927400,-58.35834700,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1997,250,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio de Teatro Boedo XXI,Boedo. Av. 853 ,1Â°,1218,11,49571400,boedoxxi@gmail.com,s/d,A la italiana,-34.62325500,-58.41629100,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2001,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro Pan y Arte ,Boedo. Av. 880,1Â°,1218,11,49576922,teatro@panyarte.com.ar,www.panyarte.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular) - Capacidad sala 2: 50 personas",-34.62358500,-58.41625200,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2000,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro del Perro,Bonpland 800,s/d,1414,s/d,s/d,teatrodelperro@gmail.com.ar,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.59026260,-58.44608560,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2008,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,AsociaciÃ³n Israelita Argentina Pro Arte IFT,Boulogne Sur Mer 549,,1213,11,49629420,coordinacioncultural@teatroift.org.ar,,,-34.60368000,-58.40632000,,Teatro,,Plan Podesta 2020 / Relevamiento SINCA,Privado,1932,750,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Pompapetriyasos Teatro Comunitario,Brasil. Av. 2802,s/d,s/d,s/d,s/d,pompapetriyasos@yahoo.com.ar,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.63277150,-58.40318910,Precisa,,Grupo de Teatro Comunitario,Alternativa Teatral / Relevamiento 2017,Privado,2002,0,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Auditorio Cendas,Bulnes 1350,s/d,1176,11,48623418,teatrocendas@yahoo.com.ar,www.cendas.com.ar,Auditorio,-34.59610100,-58.41688100,Precisa,,s/d,Proteatro 2017 / Relevamiento 2017,Privado,0,125,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Huella Arte En Movimiento,Bulnes 892,s/d,s/d,11,20546659,huellaclubdearte@yahoo.com.ar,www.lahuellaespaciodearte.blogspot.com.ar,s/d,-34.60115710,-58.41791773,Precisa,,s/d,Alternativa Teatral / Relevamiento 2017,Privado,0,35,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Centro Creativo Cabildo,Cabildo. Av. 4740,1Â°,1429,11,47031412,teatrocabildo@gmail.com,www.teatrocabildo.com.ar,A la italiana - Capacidad sala 2: 50 personas,-34.54124700,-58.47401600,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1992,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Mueca Teatro,Cabrera 4255 ,P.B.,s/d,11,48672155,Eclamuecateatro@gmail.com,s/d,A la italiana,-34.59503000,-58.42505000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2011,140,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Moscu Teatro,Camargo 506,1Â°,1414,11,20743718,moscuteatro@gmail.com,www.moscuteatro.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.60055000,-58.44001000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2014,49,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,PÃ¡ramo Cultural Teatro,Carlos Calvo 3974,,1230,11,23911927,culturalparamo@gmail.com,,,-34.62486900,-58.42156000,Precisa,Teatro y espectÃ¡culos musicales,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Animal,Castro 561,,1217,11,58300452,espacioanimalarte@gmail.com,https://animalteatro.wordpress.com/,,-34.61836670,-58.42073100,Precisa,"Sala de ensayo,teatro,clases,bar",,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Pista Urbana,Chacabuco 874,,1069,11,43613015,info@pistaurbana.com,facebook.com/pistaurbanabar/,,"-34,6182619","-58,3758005",,,,Fondo Desarrollar 2020,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,TAI Teatro (Teatro artes independientes),Charlone 1752,,1427,s/d,s/d,,facebook.com/taiteatroycantina/,,-34.58050078,-58.46662243,,,,Fondo Desarrollar 2020,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Popular,Chile 2080,s/d,1227,11,20518438,info@teatroelpopular.com.ar,www.teatroelpopular.com,"Espacio no convencional (tarima, al ras del piso. circular, semicircular) - capacidad sala 2: 60 personas",-34.61729576,-58.39564353,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2012,120,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Delborde Espacio Teatral,Chile 630 ,P.B.,1098,11,43006201,info@delborde.com.ar,www.delborde.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.61610200,-58.37494200,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2004,55,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Hormiga Teatro,Ciudad de La Paz 828,P.B.,1426,11,47842274,Info@lahormigateatro.com.ar,www.lahormigateatro.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular) - capacidad sala 2: 30 personas",-34.57106863,-58.44707239,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2007,30,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro Del Pasillo,Colombres 35,s/d,1045,11,49815167,s/d,www.delpasilloteatro.com.ar/el_teatro.html,s/d,-34.61171400,-58.41952100,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1996,100,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Picadilly,Corrientes. Av. 1524,s/d,s/d,11,43731900,juanmanuel@picadilly.com.ar,www.teatropicadilly.com.ar,s/d,-34.60412200,-58.38822300,Precisa,,s/d,Proteatro 2017 / Relevamiento 2017,Privado,0,292,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Columbia Teatro ,Corrientes. Av. 1537,P.B.,s/d,11,43716086,Claudiosalama@hotmail.com ,s/d,A la italiana,-34.60405776,-58.38848730,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2015,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Auditorio Losada,Corrientes. Av. 1551,s/d,1042,11,4373006,suredafernando@hotmail.com,s/d,Auditorio,-34.60415600,-58.38864700,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,130,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Belisario Club de Cultura,Corrientes. Av. 1624,s/d,1042,11,43733465,info@marcelosavignone.com,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.60425800,-58.38972100,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2001,107,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro Eureka,Corrientes. Av. 4269,1Â°,s/d,11,62316194,quierohacerteatro@gmail.com,www.quierohacerteatro.com.ar,A la italiana,-34.60273000,-58.42502000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2011,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Pausa Teatral,Corrientes. Av. 4521,s/d,1195,11,51232030,hola@lapausateatral.com.ar,www.lapausateatral.com.ar,A la italiana,-34.60227885,-58.42894207,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2015,43,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Ratonera Cultural,Corrientes. Av. 5552,s/d,1414,11,43723200,fernandocipoll@hotmail.com,s/d,s/d,-34.59680300,-58.44213700,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Corrientes Azul,Corrientes. Av. 5965,s/d,1414,s/d,s/d,corrientesazul@hotmail.com,www.corrientesazul.com.ar,s/d,-34.59357100,-58.44555000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro Taller El Grito,Costa Rica 5459,s/d,1414,11,49416118,elgrito5459@hotmail.com,www.teatroelgrito.com.ar,s/d,-34.58364900,-58.43338800,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2004,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Cirujismo espacio cultural,Dean Funes 1267,,1244,11,26953639,cirujismo@gmail.com,facebook.com/Cirujismo/,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.62527100,-58.40566600,Precisa,"Teatro de arte dramÃ¡tico,talleres y seminarios",,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,80,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,GalpÃ³n F.A.C.E,Dean Funes 2142,,1244,11,61756105,galponface@gmail.com,facebook.com/galponface/,,-34.63647400,-58.40432370,Precisa,"Teatro que funciona como espacio de formaciÃ³n,investigaciÃ³n, producciÃ³n ",,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Teatro El Damero,Dean Funes 506 ,P.B.,1231,11,20602278,hogallardo@gmail.com,www.teatroeldamero.com,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.61645960,-58.40679529,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2012,40,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Torquato Tasso,Defensa 1575,,1143,11,43076506,info@torquatotasso.com.ar,facebook.com/TorquatoTasso/,,-34.62619000,"Â -58,3714",,,,Fondo Desarrollar 2020,Privado,,200,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Oeste Usina Cultural,Del Barco Centenera 143,1Â°,1424,11,49013111,contacto@oesteusinacultural.com.ar,www.oesteusinacultural.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.62153700,-58.44100700,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2008,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Actors Studio Teatro,Diaz Velez 3842,P.B.,1200,11,49839883,teatro@actors-studio.org ,www.actors-studio.org,A la italiana - capacidad sala 2: 40 personas,-34.60862000,-58.42049000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1997,130,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Kermesse,Doctor TomÃ¡s Manuel de Anchorena 1347Â ,,1425,11,53296073,espacioparacultura@gmail.com,facebook.com/lakermesseteatrobar/,,-34.59390000,-58.40564000,,EspectÃ¡culos,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio Crearte Escuela de Teatro,Don Bosco 4124,,1206,s/d,s/d,espaciocrearte@gmail.com,facebook.com/EspacioCrearteTeatro/,,-34.61351945,-58.42370219,,,,Fondo Desarrollar 2020,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Estudio los vidrios,Donado 2348,,1430,11,40316729,estudiolosvidrios@gmail.com,http://cargocollective.com/,,-34.57081540,-58.47724220,Precisa,"Teatro,obras,cursos,talleres",,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Paternal Teatro,Dr. NicolÃ¡s Repetto 1556,P.B.,1416,11,45848703,hector_bidonde@yahoo.com.ar,s/d,A la italiana,-34.60525500,-58.45214000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,1998,100,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El MÃ©todo KairÃ³s Teatro ,El Salvador 4530,,1414,11,48319663,info@elmetodokairos.com.ar,http://www.elmetodokairos.com.ar/,,-34.59077530,-58.42535570,Precisa,Teatroobras,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Abre Club de Arte,Elpidio GonzÃ¡lez 2764,s/d,s/d,s/d,s/d,sergiofuda@gmail.com,www.clubdearte.blogspot.com.ar,s/d,-34.60868000,-58.48111000,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,40,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Club de Trapecistas,Ferrari 252,P.B.,1414,11,48573934,info@clubdetrapecistas.com.ar,www.clubdetrapecistas.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.60419700,-58.43952800,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2004,150,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Taller de Omar,Fitz Roy 1245,,1414,11,20958150,info@eltallerdeomar.com,https://eltallerdeomar.com.ar/,,-34.58794240,-58.44079350,Precisa,"Sala,exhibiciones,exposiiciones,talleres,seminarios",,Plan Podesta 2020 / Relevamiento SINCA,Privado,,120,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio Polonia,Fitz Roy 1477,P.B.,1426,s/d,s/d,poloniateatro@yahoo.com,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.58609057,-58.43835167,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2009,33,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Espacio Cultural Fonrouge,Fonrouge 483,,1408,11,61547489,ecfonrouge@gmail.com,http://ecfonrouge.com.ar/,,-34.64332080,-58.51092360,Precisa,Teatro de arte dramÃ¡tico y clases de actuaciÃ³n,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ventanas espacio teatral,Francisco AcuÃ±a de Figueroa 700,,1414,11,48649288,nicostraimel@gmail.com,facebook.com/ventanasalquilersala,,-34.60235700,-58.42249800,Precisa,Sala y clases,,Plan Podesta 2020 / Relevamiento SINCA,Privado,,,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Tertulia,Gallo 826,s/d,1172,11,48650303,teatrolatertulia@gmail.com,www.teatrolatertulia.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.60000600,-58.41224300,Precisa,"Sala Teatral,producciones teatrales",s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2002,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Casa Temenos,Gaona 1880,1Â°,1416,11,45832782,temenosespaciodearte@gmail.com,s/d,"Espacio no convencional (tarima, al ras del piso. circular, semicircular) - capacidad sala 2: 40 personas",-34.61194525,-58.45440258,Precisa,,s/d,ESCENA / Proteatro 2017 ,Privado,2010,40,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Multiespacio Jxi,GascÃ³n 1474,s/d,s/d,s/d,48028998,Bastardagustin@gmail.com,,s/d,-34.59311900,-58.42274000,Precisa,,s/d,Data Cultura /2021,Privado,0,50,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Border,Godoy Cruz 1838,s/d,s/d,11,52366183,escuela@border.com.ar,www.border.com.ar,s/d,-34.58653000,-58.43262000,Precisa,,s/d,Proteatro 2017 / Relevamiento 2017,Privado,0,115,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Codigo Montesco,Gorriti 3956,s/d,1172,11,39684292,s/d,www.codigomontesco.com.ar,s/d,-34.59541400,-58.42061900,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,0,0,2020
02000010,02,02000,,Salas de Teatro,,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Entretelones,Gral. Enrique  Martinez 1427  ,P.B.,1426,11,35298527,info@entretelonesteatro.com.ar,www.entretelonesteatro.com.ar,"Espacio no convencional (tarima, al ras del piso. circular, semicircular)",-34.57516100,-58.46076600,Precisa,,s/d,Plan Podesta 2020 / Relevamiento SINCA,Privado,2003,35,2020
